t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz
0.000000,0.01000107,0.00000000,0.51000000,0.00000006,0.00000216,0.00000001,0.00166900,0.00000267,-0.00000200,0.00006256,0.00096358,0.00000621
0.002000,0.01000549,0.00000001,0.50999999,0.00000021,0.00000314,0.00000002,0.00384127,0.00000457,0.00000062,0.00010258,-0.00114573,0.00001148
0.004000,0.01001427,0.00000002,0.51000000,0.00000043,-0.00000051,0.00000005,0.00603915,0.00000647,0.00000393,0.00013864,-0.00406239,0.00001662
0.006000,0.01002746,0.00000003,0.51000001,0.00000072,-0.00001037,0.00000008,0.00825964,0.00000838,0.00000762,0.00017099,-0.00769264,0.00002164
0.008000,0.01004510,0.00000005,0.51000002,0.00000108,-0.00002781,0.00000013,0.01049988,0.00001029,0.00001142,0.00019991,-0.01194695,0.00002654
0.010000,0.01006722,0.00000007,0.51000005,0.00000149,-0.00005404,0.00000018,0.01275721,0.00001221,0.00001506,0.00022565,-0.01674285,0.00003133
0.012000,0.01009387,0.00000010,0.51000008,0.00000196,-0.00009010,0.00000025,0.01502921,0.00001413,0.00001832,0.00024844,-0.02200460,0.00003601
0.014000,0.01012507,0.00000013,0.51000012,0.00000246,-0.00013690,0.00000032,0.01731364,0.00001607,0.00002099,0.00026850,-0.02766264,0.00004059
0.016000,0.01016084,0.00000016,0.51000016,0.00000301,-0.00019518,0.00000041,0.01960845,0.00001802,0.00002290,0.00028604,-0.03365313,0.00004508
0.018000,0.01020121,0.00000020,0.51000021,0.00000359,-0.00026559,0.00000050,0.02191174,0.00001998,0.00002391,0.00030125,-0.03991758,0.00004947
0.020000,0.01024619,0.00000024,0.51000026,0.00000420,-0.00034864,0.00000060,0.02422180,0.00002196,0.00002390,0.00031431,-0.04640238,0.00005376
0.022000,0.01029579,0.00000028,0.51000030,0.00000483,-0.00044475,0.00000071,0.02653703,0.00002396,0.00002279,0.00032539,-0.05305849,0.00005797
0.024000,0.01035002,0.00000033,0.51000035,0.00000549,-0.00055425,0.00000082,0.02885598,0.00002598,0.00002053,0.00033465,-0.05984105,0.00006209
0.026000,0.01040889,0.00000038,0.51000039,0.00000616,-0.00067736,0.00000095,0.03117732,0.00002802,0.00001711,0.00034223,-0.06670911,0.00006611
0.028000,0.01047241,0.00000044,0.51000042,0.00000685,-0.00081423,0.00000108,0.03349985,0.00003008,0.00001254,0.00034827,-0.07362530,0.00007005
0.030000,0.01054057,0.00000050,0.51000044,0.00000755,-0.00096494,0.00000122,0.03582243,0.00003216,0.00000689,0.00035289,-0.08055557,0.00007389
0.032000,0.01061338,0.00000057,0.51000045,0.00000826,-0.00112952,0.00000137,0.03814408,0.00003425,0.00000023,0.00035621,-0.08746892,0.00007764
0.034000,0.01069083,0.00000064,0.51000045,0.00000897,-0.00130790,0.00000152,0.04046386,0.00003635,-0.00000730,0.00035832,-0.09433719,0.00008130
0.036000,0.01077291,0.00000071,0.51000043,0.00000969,-0.00149998,0.00000169,0.04278093,0.00003843,-0.00001561,0.00035930,-0.10113483,0.00008486
0.038000,0.01085963,0.00000079,0.51000039,0.00001040,-0.00170561,0.00000185,0.04509454,0.00004049,-0.00002456,0.00035921,-0.10783868,0.00008832
0.040000,0.01095098,0.00000087,0.51000034,0.00001112,-0.00192460,0.00000203,0.04740398,0.00004251,-0.00003397,0.00035814,-0.11442780,0.00009167
0.042000,0.01104694,0.00000096,0.51000027,0.00001183,-0.00215670,0.00000221,0.04970864,0.00004441,-0.00004316,0.00035602,-0.12088335,0.00009492
0.044000,0.01114750,0.00000105,0.51000018,0.00001254,-0.00240164,0.00000240,0.05200794,0.00004606,-0.00005079,0.00035268,-0.12718841,0.00009805
0.046000,0.01125267,0.00000114,0.51000007,0.00001325,-0.00265911,0.00000259,0.05430139,0.00004750,-0.00005664,0.00034826,-0.13332768,0.00010106
0.048000,0.01136241,0.00000124,0.50999996,0.00001394,-0.00292877,0.00000279,0.05658851,0.00004929,-0.00005933,0.00034388,-0.13928754,0.00010399
